Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.134,H.R.3746,"Budd, Ted [Sen.-R-NC]","Amendment SA 134, under the order of 6/1/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 52. Record Vote Number: 143. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/134?r=36&s=1&r=46,06/01/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.101,H.R.3746,"Kaine, Tim [Sen.-D-VA]",Amendment SA 101 not agreed to in Senate by Yea-Nay Vote. 30 - 69. Record Vote Number: 145. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/101?r=36&s=1&r=47,06/01/23,D,NA,RCV
118th Congress (2023-2024),S.Amdt.85,S.870,"Van Hollen, Chris [Sen.-D-MD]","Amendment SA 85, under the order of 4/18/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 46 - 51. Record Vote Number: 92. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/85?r=36&s=1&r=48,04/20/23,D,NA,RCV
118th Congress (2023-2024),S.Amdt.83,S.870,"Sullivan, Dan [Sen.-R-AK]",Amendment SA 83 not agreed to in Senate by Yea-Nay Vote. 42 - 56. Record Vote Number: 93. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/83?r=36&s=1&r=49,04/20/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.81,S.870,"Scott, Rick [Sen.-R-FL]","Amendment SA 81, under the order of 4/18/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 49. Record Vote Number: 91. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/81?r=36&s=1&r=50,04/19/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.79,S.870,"Paul, Rand [Sen.-R-KY]",Amendment SA 79 not agreed to in Senate by Yea-Nay Vote. 45 - 54. Record Vote Number: 88. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/79?r=36&s=1&r=51,04/19/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.72,S.870,"Hagerty, Bill [Sen.-R-TN]","Amendment SA 72, as modified, under the order of 4/18/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 45 - 54. Record Vote Number: 89. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/72?r=36&s=1&r=52,04/19/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.80,S.870,"Lee, Mike [Sen.-R-UT]","Amendment SA 80 under the order of 4/18/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 49 - 50. Record Vote Number: 87. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/80?r=36&s=1&r=53,04/18/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.9,S.316,"Cruz, Ted [Sen.-R-TX]","Amendment SA 9 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 41 - 55. Record Vote Number: 73. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/9?r=36&s=1&r=54,03/28/23,R,NA,RCV
118th Congress (2023-2024),S.Amdt.11,S.316,"Johnson, Ron [Sen.-R-WI]","Amendment SA 11 under the order of 3/23/2023, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 49. Record Vote Number: 71. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/11?r=36&s=1&r=55,03/28/23,R,NA,RCV
