,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
125,House,04/11/2024,09:00AM,19:16PM,616.0,x,Adjournment: The House met at 9 a.m. and adjourned at 7:16 p.m. ,https://www.congress.gov/congressional-record/2024/4/11/daily-digest
126,Senate,04/12/2024,,,,NS,The Senate was not in session and stands in recess until 3 p.m. on Monday April 15 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/4/12/daily-digest
127,House,04/12/2024,08:00AM,14:22PM,382.0,x,Adjournment: The House met at 8:00 a.m. and adjourned at 2:22 p.m.   ,https://www.congress.gov/congressional-record/2024/4/12/daily-digest
128,Senate,04/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/15/daily-digest
129,House,04/15/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/15/daily-digest
130,Senate,04/16/2024,10:00AM,19:26PM,566.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:26 p.m. until 10 a.m. on Wednesday April 17 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/16/daily-digest
131,House,04/16/2024,10:00AM,17:39PM,459.0,x,Adjournment: The House met at 10 a.m. and adjourned at 5:39 p.m.,https://www.congress.gov/congressional-record/2024/4/16/daily-digest
132,Senate,04/17/2024,11:00AM,19:12PM,492.0,x,Adjournment: Senate convened at 11 a.m. and adjourned at 7:12 p.m. until 12 noon on Thursday April 18 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/4/17/daily-digest
133,House,04/17/2024,10:00AM,20:44PM,644.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:44 p.m.,https://www.congress.gov/congressional-record/2024/4/17/daily-digest
134,Senate,04/18/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/4/18/daily-digest
135,House,04/18/2024,09:00AM,12:51PM,231.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:51 p.m.,https://www.congress.gov/congressional-record/2024/4/18/daily-digest
