,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
46,Senate,02/07/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
47,House,02/07/2022,12:00PM,21:52PM,592.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:52 p.m.  ,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
48,Senate,02/08/2022,10:00AM,18:57PM,537.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:57 p.m. until 10 a.m. on Wednesday February 9 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
49,House,02/08/2022,10:00AM,20:19PM,619.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:19 p.m.   ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
50,Senate,02/09/2022,10:00AM,19:56PM,596.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:56 p.m. until 10 a.m. on Thursday February 10 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
51,House,02/09/2022,09:00AM,15:39PM,399.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 3:39 p.m.   ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
52,Senate,02/10/2022,10:00AM,15:31PM,331.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:31 p.m. until 3 p.m. on Monday February 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/10/daily-digest
53,House,02/10/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 11 a.m. on Friday February 11 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/10/daily-digest
54,Senate,02/11/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
55,House,02/11/2022,11:00AM,11:06AM,6.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:06 a.m.  ,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
56,Senate,02/14/2022,15:00PM,19:53PM,293.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:53 p.m. until 10 a.m. on Tuesday February 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
57,House,02/14/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Tuesday February 15 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
58,Senate,02/15/2022,10:00AM,18:16PM,496.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:16 p.m. until 10 a.m. on Wednesday February 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
59,House,02/15/2022,10:00AM,10:03AM,3.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
60,Senate,02/16/2022,10:00AM,18:20PM,500.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:20 p.m. until 10:30 a.m. on Thursday February 17 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest
61,House,02/16/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Friday February 18 2022.Full Committee held a hearing entitled ``Why Congress Needs to Abolish the Debt Limit. Testimony was heard from public witnesses.  ,https://www.congress.gov/congressional-record/2022/2/16/daily-digest
