,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
61,House,02/17/2023,10:00AM,10:03AM,3.0,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2023/2/17/daily-digest
62,Senate,02/21/2023,,,,pf,The Senate met at 11:03:30 a.m. in pro forma session and adjourned at 11:04:05 a.m. until 9:30 a.m. on Thursday February 23 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/21/daily-digest
63,House,02/21/2023,12:00PM,12:04PM,4.0,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:04 p.m. ,https://www.congress.gov/congressional-record/2023/2/21/daily-digest
64,Senate,02/23/2023,,,,pf,The Senate met at 9:30:01 a.m. in pro forma session and adjourned at 9:30:27 a.m. until 3 p.m. on Monday February 27 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/23/daily-digest
65,House,02/23/2023,,,,NS,The House was not in session today. The House will meet at 11 a.m. on Friday February 24 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/2/23/daily-digest
66,Senate,02/24/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 27 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/2/24/daily-digest
67,House,02/24/2023,11:00AM,11:03AM,3.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/2/24/daily-digest
68,Senate,02/27/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/27/daily-digest
69,House,02/27/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/27/daily-digest
70,Senate,02/28/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/28/daily-digest
71,House,02/28/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/2/28/daily-digest
72,Senate,03/01/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/3/1/daily-digest
73,House,03/01/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/3/1/daily-digest
74,Senate,03/02/2023,10:00AM,16:27PM,387.0,x,Adjournment: Senate convened at 10  a.m. and adjourned at 4:27 p.m. until 3  p.m. on Monday March 6 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/2/daily-digest
75,House,03/02/2023,,,,NS,The House was not in session today. The House will meet at 9 a.m. on Friday March 3 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/3/2/daily-digest
76,Senate,03/03/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday March 6 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/3/3/daily-digest
77,House,03/03/2023,09:00AM,09:04AM,4.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:04 a.m.,https://www.congress.gov/congressional-record/2023/3/3/daily-digest
78,Senate,03/06/2023,15:00PM,18:43PM,223.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:43 p.m. until 10 a.m. on Tuesday March 7 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/6/daily-digest
79,House,03/06/2023,,,,NS,The House was not in session today. The House will meet at 12 p.m. on Tuesday March 7 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/3/6/daily-digest
80,Senate,03/07/2023,10:00AM,18:35PM,515.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:35 p.m. until 10 a.m. on Wednesday March 8 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/7/daily-digest
81,House,03/07/2023,12:00PM,20:35PM,515.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:35 p.m.   ,https://www.congress.gov/congressional-record/2023/3/7/daily-digest
82,Senate,03/08/2023,1900-01-01 10:00:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/3/8/daily-digest
83,House,03/08/2023,10:00AM,19:26PM,566.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:26 p.m.   ,https://www.congress.gov/congressional-record/2023/3/8/daily-digest
84,Senate,03/09/2023,10:00AM,15:48PM,348.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:48 p.m. until 9:30 a.m. on Friday March 10 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/9/daily-digest
85,House,03/09/2023,10:00AM,19:01PM,541.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:01 p.m.   ,https://www.congress.gov/congressional-record/2023/3/9/daily-digest
86,Senate,03/10/2023,,,,pf,The Senate met at 9:30:25 a.m. in pro forma session and adjourned at 9:30:50 a.m. until 3 p.m. on Tuesday March 14 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/3/10/daily-digest
87,House,03/10/2023,09:00AM,13:05PM,245.0,x,Adjournment: The House met at 9 a.m. and adjourned at 1:05 p.m.   ,https://www.congress.gov/congressional-record/2023/3/10/daily-digest
88,Senate,03/14/2023,15:00PM,18:34PM,214.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:34 p.m. until 10 a.m. on Wednesday March 15 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/3/14/daily-digest
89,House,03/14/2023,16:00PM,16:05PM,5.0,pf,Adjournment: The House met at 4 p.m. and adjourned at 4:05 p.m.  ,https://www.congress.gov/congressional-record/2023/3/14/daily-digest
