House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,7/26/23,10:00 AM,12:40 AM,14:40,x,,https://www.congress.gov/congressional-record/2023/7/26/daily-digest,,
House,7/26/23,10:00AM,20:33PM,633,x,Adjournment: The House met at 10 a.m. and adjourned at 8:33 p.m. ,https://www.congress.gov/congressional-record/2023/7/26/daily-digest,,
Senate,7/27/23,10:00AM,23:05PM,785,x,Adjournment: Senate convened at 10 a.m. and adjourned at 11:05 p.m. until 11:45 a.m. on Friday July 28 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/7/27/daily-digest,,
House,7/27/23,10:00AM,18:27PM,507,x,Adjournment:  The House met at 10 a.m. and adjourned at 6:27 p.m.   ,https://www.congress.gov/congressional-record/2023/7/27/daily-digest,,
Senate,7/28/23,,,,pf,The Senate met at 11:45:00 a.m. in pro forma session and adjourned at 11:45:37 a.m. until 12:15 p.m. on Tuesday August 1 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/7/28/daily-digest,,
House,7/28/23,10:00AM,10:02AM,2,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:02 a.m. ,https://www.congress.gov/congressional-record/2023/7/28/daily-digest,,
Senate,8/1/23,,,,pf,The Senate met at 2:36:11 p.m. in pro forma session and adjourned at 2:36:49 p.m. until 12 noon on Friday August 4.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/1/daily-digest,,
House,8/1/23,15:00PM,15:02PM,2,pf,Adjournment: The House met at 3 p.m. and adjourned at 3:02 p.m. ,https://www.congress.gov/congressional-record/2023/8/1/daily-digest,,
Senate,8/4/23,,,,pf,The Senate met at 12:03:00 p.m. in pro forma session and adjourned at 12:03:30 p.m. until 10 a.m. on Tuesday August 8 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/4/daily-digest,,
House,8/4/23,11:00AM,11:03AM,3,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/8/4/daily-digest,,
Senate,8/8/23,,,,pf,The Senate met at 10:00:02 a.m. in pro forma session and adjourned at 10:00:28 a.m. until 9 a.m. on Friday August 11 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/8/daily-digest,,
House,8/8/23,10:30AM,10:33AM,3,pf,Adjournment: The House met at 10:30 a.m. and adjourned at 10:33 a.m.   ,https://www.congress.gov/congressional-record/2023/8/8/daily-digest,,
Senate,8/11/23,,,,pf,The Senate met at 9:00:08 a.m. in pro forma session and adjourned at 9:00:38 a.m. until 12 noon on Tuesday August 15 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/11/daily-digest,,
House,8/11/23,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m. ,https://www.congress.gov/congressional-record/2023/8/11/daily-digest,,
Senate,8/15/23,,,,pf,The Senate met at 10:47:39 a.m. in pro forma session and adjourned at 10:49:08 a.m. until 1 p.m. on Friday August 18.  A unanimous-consent agreement was reached providing that notwithstanding the order of Thursday July 27 2023 Senate not convene at 12 noon on Tuesday August 15 2023 as previously ordered; and that when Senate adjourns on Tuesday August 15 2023 it stand adjourned until 1 p.m. on Friday August 18 2023 with all other provisions of the order of Thursday July 27 2023 remaining in effect.,https://www.congress.gov/congressional-record/2023/8/15/daily-digest,,
House,8/15/23,11:00AM,11:03AM,3,pf,Adjournment:  The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/8/15/daily-digest,,
Senate,8/18/23,,,,pf,The Senate met at 1:00:01 p.m. in pro forma session and adjourned at 1:00:30 p.m. until 2 p.m. on Tuesday August 22.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/18/daily-digest,,
House,8/18/23,10:30AM,10:32AM,2,pf,Adjournment: The House met at 10:30 a.m. and adjourned at 10:32 a.m. ,https://www.congress.gov/congressional-record/2023/8/18/daily-digest,,
Senate,8/22/23,,,,pf,The Senate met at 2 p.m. in pro forma session and adjourned at 2:00:27 p.m. until 12 noon on Friday August 25.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/22/daily-digest,,
House,8/22/23,14:00PM,14:03PM,3,pf,Adjournment: The House met at 2 p.m. and adjourned at 2:03 p.m. ,https://www.congress.gov/congressional-record/2023/8/22/daily-digest,,
Senate,8/25/23,,,,pf,The Senate met at 12:00:01 p.m. in pro forma session and adjourned at 12:00:35 p.m. until 11:45  a.m. on Tuesday August 29 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/25/daily-digest,,
House,8/25/23,14:00PM,14:03PM,3,pf,Adjournment: The House met at 2 p.m. and adjourned at 2:03 p.m. ,https://www.congress.gov/congressional-record/2023/8/25/daily-digest,,
Senate,8/29/23,,,,pf,The Senate met at 11:45:00 a.m. in pro forma session and adjourned at 11:45:31 a.m. until 11:45 a.m. on Friday September 1 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/8/29/daily-digest,,
House,8/29/23,11:00AM,11:03AM,3,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m. ,https://www.congress.gov/congressional-record/2023/8/29/daily-digest,,
Senate,9/1/23,,,,pf,The Senate met at 11:45:00 a.m. in pro forma session and adjourned at 11:45:33 a.m. until 3 p.m. on Tuesday September 5 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/9/1/daily-digest,,
House,9/1/23,16:30PM,16:32PM,2,pf,Adjournment: The House met at 4:30 p.m. and adjourned at 4:32 p.m.  ,https://www.congress.gov/congressional-record/2023/9/1/daily-digest,,
Senate,9/5/23,15:01PM,18:50PM,229,x,Adjournment: Senate convened at 3:01 p.m. and adjourned at 6:50 p.m. until 10 a.m. on Wednesday September 6 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/5/daily-digest,,
House,9/5/23,13:00PM,13:02PM,2,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m. ,https://www.congress.gov/congressional-record/2023/9/5/daily-digest,,
Senate,9/6/23,10:00AM,19:25PM,565,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:25 p.m. until 10 a.m. on Thursday September 7 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/6/daily-digest,,
House,9/6/23,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 1 p.m. on Friday September 8 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/9/6/daily-digest,,
Senate,9/7/23,10:00AM,16:17PM,377,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:17 p.m. until 3 p.m. on Monday September 11 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/7/daily-digest,,
House,9/7/23,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 1 p.m. on Friday September 8 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/9/7/daily-digest,,
Senate,9/8/23,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday September 11 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/9/8/daily-digest,,
House,9/8/23,13:00PM,13:10PM,10,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:10 p.m.   ,https://www.congress.gov/congressional-record/2023/9/8/daily-digest,,
Senate,9/11/23,15:00PM,18:46PM,226,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:46 p.m. until 10 a.m. on Tuesday September 12 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/11/daily-digest,,
House,9/11/23,,,,NS,The House was not in session today. The House will meet at 12 p.m. on Tuesday September 12 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/9/11/daily-digest,,
Senate,9/12/23,10:00AM,18:47PM,527,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:47 p.m. until 12 noon on Wednesday September 13 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/12/daily-digest,,
House,9/12/23,12:00PM,19:37PM,457,x,Adjournment:  The House met at 12 p.m. and adjourned at 7:37 p.m.   ,https://www.congress.gov/congressional-record/2023/9/12/daily-digest,,
Senate,9/13/23,12:00 PM,5:57 PM,5:57,x,,https://www.congress.gov/congressional-record/2023/9/13/daily-digest,,
House,9/13/23,10:00AM,20:26PM,626,x,Adjournment: The House met at 10 a.m. and adjourned at 8:26 p.m.,https://www.congress.gov/congressional-record/2023/9/13/daily-digest,,
Senate,9/14/23,10:00AM,15:28PM,328,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:28 p.m. until 3 p.m. on Monday September 18 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/14/daily-digest,,
House,9/14/23,10:00AM,18:27PM,507,x,Adjournment: The House met at 10 a.m. and adjourned at 6:27 p.m.,https://www.congress.gov/congressional-record/2023/9/14/daily-digest,,
Senate,9/18/23,3:00 PM,7:07 PM,4:07,x,.Adjournment: The House met at 12 p.m. and adjourned at 8:16 p.m.,https://www.congress.gov/congressional-record/2023/9/18/daily-digest,,
House,9/18/23,12:00PM,20:16PM,496,x,.Adjournment: The House met at 12 p.m. and adjourned at 8:16 p.m.,https://www.congress.gov/congressional-record/2023/9/18/daily-digest,,
Senate,9/19/23,10:00AM,19:52PM,592,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:52 p.m. until 10 a.m. on Wednesday September 20 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/19/daily-digest,,
House,9/19/23,10:00AM,15:54PM,354,x,Adjournment: The House met at 10 a.m. and adjourned at 3:54 p.m.  ,https://www.congress.gov/congressional-record/2023/9/19/daily-digest,,
Senate,9/20/23,10:00AM,20:27PM,627,x,Adjournment: Senate convened at 10 a.m. and adjourned at 8:27 p.m. until 11 a.m. on Thursday September 21 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/20/daily-digest,,
House,9/20/23,10:00AM,15:42PM,342,x,Adjournment: The House met at 10 a.m. and adjourned at 3:42 p.m.  ,https://www.congress.gov/congressional-record/2023/9/20/daily-digest,,
Senate,9/21/23,11:00AM,16:43PM,343,x,Adjournment: Senate convened at 11 a.m. and adjourned at 4:43 p.m. until 10:00 a.m. on Friday September 22 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/9/21/daily-digest,,
House,9/21/23,09:00AM,22:00PM,780,x,Adjournment: The House met at 9 a.m. and adjourned at 10 p.m.   ,https://www.congress.gov/congressional-record/2023/9/21/daily-digest,,
Senate,9/22/23,,,,pf,The Senate met at 10 a.m. in pro forma session and recessed at 10:00:36 a.m. until 3 p.m. on Tuesday September 26 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/9/22/daily-digest,,
House,9/22/23,09:00AM,18:10PM,550,x,Adjournment: The House met at 9 a.m. and adjourned at 6:10 p.m.   ,https://www.congress.gov/congressional-record/2023/9/22/daily-digest,,
Senate,9/23/23,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday September 26 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/9/23/daily-digest,,
House,9/23/23,10:30AM,13:47PM,197,x,Adjournment: The House met at 10:30 a.m. and adjourned at 1:47 p.m. ,https://www.congress.gov/congressional-record/2023/9/23/daily-digest,,
Senate,9/26/23,15:00,19:04,4:04,x,,https://www.congress.gov/congressional-record/2023/9/26/daily-digest,,
House,9/26/23,12:00,3:11,15:11,x,,https://www.congress.gov/congressional-record/2023/9/26/daily-digest,,
Senate,9/27/23,10:00,18:54,8:54,x,,https://www.congress.gov/congressional-record/2023/9/27/daily-digest,,
House,9/27/23,09:00AM,00:49AM,15:49,x,,https://www.congress.gov/congressional-record/2023/9/27/daily-digest,,
Senate,9/28/23,10:00,19:00,9:00,x,,https://www.congress.gov/congressional-record/2023/9/28/daily-digest,,
House,9/28/23,09:00AM,23:41PM,881,x,Adjournment: The House met at 9 a.m. and adjourned at 11:41 p.m.  ,https://www.congress.gov/congressional-record/2023/9/28/daily-digest,,
Senate,9/29/23,10:00,17:21,7:21,x,,https://www.congress.gov/congressional-record/2023/9/29/daily-digest,,
House,9/29/23,10:00AM,19:55PM,595,x,Adjournment:  The House met at 10 a.m. and adjourned at 7:55 p.m. pursuant to ,https://www.congress.gov/congressional-record/2023/9/29/daily-digest,,
Senate,9/30/23,12:00 PM,9:46 PM,9:46,x,,https://www.congress.gov/congressional-record/2023/9/30/daily-digest,,
House,9/30/23,10:00AM,14:47PM,287,x,Adjournment: The House met at 10 a.m. and adjourned at 2:47 p.m.,https://www.congress.gov/congressional-record/2023/9/30/daily-digest,,
Senate,10/2/23,,,,NS,.Adjournment: The House met at 12 p.m. and adjourned at 7:22 p.m.,https://www.congress.gov/congressional-record/2023/10/2/daily-digest,,
House,10/2/23,12:00PM,19:22PM,442,x,.Adjournment: The House met at 12 p.m. and adjourned at 7:22 p.m.,https://www.congress.gov/congressional-record/2023/10/2/daily-digest,,
Senate,10/3/23,15:00,19:12,4:12,x,Days in sessionTime in session,https://www.congress.gov/congressional-record/2023/10/3/daily-digest,,
House,10/3/23,10:00,16:48,6:48,x,Days in sessionTime in session,https://www.congress.gov/congressional-record/2023/10/3/daily-digest,,
Senate,10/4/23,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 10 a.m. on Friday October 6 2023.,https://www.congress.gov/congressional-record/2023/10/4/daily-digest,,
House,10/4/23,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 10 a.m. on Friday October 6 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/10/4/daily-digest,,
Senate,10/6/23,,,,pf,The Senate met at 9:45:08 a.m. in pro forma session and adjourned at 9:45:39 a.m. until 12 noon on Tuesday October 10 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/6/daily-digest,,
House,10/6/23,10:00AM,10:06AM,6,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:06 a.m.,https://www.congress.gov/congressional-record/2023/10/6/daily-digest,,
Senate,10/10/23,,,,pf,The Senate met at 12:00:02 p.m. in pro forma session and adjourned at 12:00:39 p.m. until 9:15 a.m. on Friday October 13 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/10/daily-digest,,
House,10/10/23,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m. ,https://www.congress.gov/congressional-record/2023/10/10/daily-digest,,
Senate,10/11/23,,,,NS,The Senate was not in session and stands adjourned until 9:15 a.m. on Friday October 13 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/11/daily-digest,,
House,10/11/23,15:00PM,18:49PM,229,x,Adjournment: The House met at 3 p.m. and adjourned at 6:49 p.m.   ,https://www.congress.gov/congressional-record/2023/10/11/daily-digest,,
Senate,10/12/23,,,,NS,The Senate was not in session and stands adjourned until 9:15 a.m. on Friday October 13 2023.No committee meetings were held. ,https://www.congress.gov/congressional-record/2023/10/12/daily-digest,,
House,10/12/23,12:00PM,21:23PM,563,x,Adjournment: The House met at 12 p.m. and adjourned at 9:23 p.m. ,https://www.congress.gov/congressional-record/2023/10/12/daily-digest,,
Senate,10/13/23,,,,pf,The Senate met at 9:21:20 a.m. in pro forma session and adjourned at 9:21:50 a.m. until 3 p.m. on Monday October 16 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/13/daily-digest,,
House,10/13/23,09:00AM,17:25PM,505,x,Adjournment: The House met at 9 a.m. and adjourned at 5:25 p.m. ,https://www.congress.gov/congressional-record/2023/10/13/daily-digest,,
Senate,10/16/23,3:00 PM,6:50 PM,3:50,x,,https://www.congress.gov/congressional-record/2023/10/16/daily-digest,,
House,10/16/23,18:00PM,18:06PM,6,pf,Adjournment: The House met at 6 p.m. and adjourned at 6:06 p.m. ,https://www.congress.gov/congressional-record/2023/10/16/daily-digest,,
Senate,10/17/23,10:00AM,19:44PM,584,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:44 p.m. until 10:30 a.m. on Wednesday October 18 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/17/daily-digest,,
House,10/17/23,12:00PM,18:19PM,379,x,Adjournment: The House met at 12 p.m. and adjourned at 6:19 p.m.   ,https://www.congress.gov/congressional-record/2023/10/17/daily-digest,,
Senate,10/18/23,10:30AM,21:08PM,638,x,Adjournment: Senate convened at 10:30 a.m. and adjourned at 9:08 p.m. until 10 a.m. on Thursday October 19 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/18/daily-digest,,
House,10/18/23,11:00AM,17:11PM,371,x,Adjournment: The House met at 11 a.m. and adjourned at 5:11 p.m. ,https://www.congress.gov/congressional-record/2023/10/18/daily-digest,,
Senate,10/19/23,10:00AM,17:49PM,469,x,Adjournment: Senate convened at 10 a.m. and adjourned at 5:49 p.m. until 12 p.m. on Monday October 23 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/19/daily-digest,,
House,10/19/23,12:00PM,19:19PM,439,x,Adjournment: The House met at 12 p.m. and adjourned at 7:19 p.m. ,https://www.congress.gov/congressional-record/2023/10/19/daily-digest,,
Senate,10/20/23,,,,NS,The Senate was not in session and stands adjourned until 12 noon on Monday October 23 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/20/daily-digest,,
House,10/20/23,10:00AM,17:03PM,423,x,Adjournment: The House met at 10 a.m. and adjourned at 5:03 p.m.   ,https://www.congress.gov/congressional-record/2023/10/20/daily-digest,,
Senate,10/23/23,,,,pf,The Senate met at 11:59:55 a.m. in pro forma session and adjourned at 12:00:26 p.m. until 10 a.m. on Tuesday October 24 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/10/23/daily-digest,,
House,10/23/23,,,,NS,The House was not in session today. The House is scheduled to meet at 11 a.m. on Tuesday October 24 2023.No hearings were held. ,https://www.congress.gov/congressional-record/2023/10/23/daily-digest,,
Senate,10/24/23,10:00AM,18:59PM,539,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:59 p.m. until 10 a.m. on Wednesday October 25 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/24/daily-digest,,
House,10/24/23,11:00AM,18:43PM,463,x,Adjournment: The House met at 11 a.m. and adjourned at 6:43 p.m. ,https://www.congress.gov/congressional-record/2023/10/24/daily-digest,,
Senate,10/25/23,10:00AM,19:02PM,542,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:02 p.m. until 10 a.m. on Thursday October 26 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/25/daily-digest,,
House,10/25/23,12:00PM,20:49PM,529,x,Adjournment: The House met at 12 p.m. and adjourned at 8:49 p.m.   ,https://www.congress.gov/congressional-record/2023/10/25/daily-digest,,
Senate,10/26/23,10:00AM,15:15PM,315,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:15 p.m. until 3 p.m. on Monday October 30 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/26/daily-digest,,
House,10/26/23,10:00AM,17:57PM,477,x,Adjournment: The House met at 10 a.m. and adjourned at 5:57 p.m.  ,https://www.congress.gov/congressional-record/2023/10/26/daily-digest,,
Senate,10/30/23,15:00PM,19:03PM,243,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:03 p.m. until 10 a.m. on Tuesday October 31 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/30/daily-digest,,
House,10/30/23,12:00PM,12:04PM,4,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:04 p.m.,https://www.congress.gov/congressional-record/2023/10/30/daily-digest,,
Senate,10/31/23,10:00AM,19:28PM,568,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:28 p.m. until 10 a.m. on Wednesday November 1 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/10/31/daily-digest,,
House,10/31/23,,,,NS,The House was not in session today. The House is scheduled to meet at noon on Wednesday November 1 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/10/31/daily-digest,,
Senate,11/1/23,10:00AM,22:42PM,762,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:42 p.m. until 10 a.m. on Thursday November 2 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/1/daily-digest,,
House,11/1/23,12:00PM,20:08PM,488,x,Adjournment: The House met at 12 p.m. and adjourned at 8:08 p.m. ,https://www.congress.gov/congressional-record/2023/11/1/daily-digest,,
Senate,11/2/23,10:00,15:59,5:59,x,.),https://www.congress.gov/congressional-record/2023/11/2/daily-digest,,
House,11/2/23,09:00AM,00:03AM,15:03,x,.Adjournment: The House met at 9 a.m. and adjourned at 12:03 a.m. on Friday November 3 2023.,https://www.congress.gov/congressional-record/2023/11/2/daily-digest,,
Senate,11/3/23,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday November 6 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/11/3/daily-digest,,
House,11/3/23,09:00AM,11:37AM,157,x,Adjournment: The House met at 9 a.m. and adjourned at 11:37 a.m.,https://www.congress.gov/congressional-record/2023/11/3/daily-digest,,
Senate,11/6/23,15:00PM,18:43PM,223,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:43 p.m. until 10 a.m. on Tuesday November 7 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/6/daily-digest,,
House,11/6/23,12:00PM,21:08PM,548,x,Adjournment: The House met at 12 p.m. and adjourned at 9:08 p.m.  ,https://www.congress.gov/congressional-record/2023/11/6/daily-digest,,
Senate,11/7/23,10:00AM,19:55PM,595,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:55 p.m. until 10 a.m. on Wednesday November 8 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/7/daily-digest,,
House,11/7/23,10:00AM,22:39PM,759,x,Adjournment: The House met at 10 a.m. and adjourned at 10:39 p.m.  ,https://www.congress.gov/congressional-record/2023/11/7/daily-digest,,
Senate,11/8/23,10:00AM,18:56PM,536,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:56 p.m. until 10 a.m. on Thursday November 9 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/8/daily-digest,,
House,11/8/23,09:00AM,22:15PM,795,x,Adjournment: The House met at 9 a.m. and adjourned at 10:15 p.m.   ,https://www.congress.gov/congressional-record/2023/11/8/daily-digest,,
Senate,11/9/23,10:00AM,16:28PM,388,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:28 p.m. until 3 p.m. on Monday November 13 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on page S,https://www.congress.gov/congressional-record/2023/11/9/daily-digest,,
House,11/9/23,09:00AM,11:32AM,152,x,Adjournment: The House met at 9 a.m. and adjourned at 11:32 a.m.  ,https://www.congress.gov/congressional-record/2023/11/9/daily-digest,,
Senate,11/13/23,15:00,19:10,4:10,x,,https://www.congress.gov/congressional-record/2023/11/13/daily-digest,,
House,11/13/23,12:00PM,21:50PM,590,x,Adjournment: The House met at 12 p.m. and adjourned at 9:50 p.m.,https://www.congress.gov/congressional-record/2023/11/13/daily-digest,,
Senate,11/14/23,10:01,19:02,9:01,x,,https://www.congress.gov/congressional-record/2023/11/14/daily-digest,,
House,11/14/23,9:00,1:01,16:01,x,,https://www.congress.gov/congressional-record/2023/11/14/daily-digest,,
Senate,11/15/23,,,-377,pf,Pro Forma Sessions--Agreement: A unanimous-consent agreement was reached providing that the Senate adjourn to then convene for pro forma sessions only with no business being conducted on the following dates and times and that following each pro forma session the Senate adjourn until the next pro forma session: Friday November 17 2023 at 7:30 a.m.; Tuesday November 21 2023 at 10 a.m.; and Friday November 24 2023 at 11 a.m.; and that when the Senate adjourns on Friday November 24 2023 it next convene at 3 p.m. on Monday November 27 2023. ,https://www.congress.gov/congressional-record/2023/11/15/daily-digest,,
House,11/15/23,09:00AM,13:33PM,273,x,Adjournment: The House met at 9 a.m. and adjourned at 1:33 p.m.   ,https://www.congress.gov/congressional-record/2023/11/15/daily-digest,,
Senate,11/17/23,,,,pf,The Senate met at 7:30 a.m. in pro forma session and adjourned at 7:30:24 a.m. until 10  a.m. on Tuesday November 21 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/11/17/daily-digest,,
House,11/17/23,09:00AM,09:03AM,3,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2023/11/17/daily-digest,,
Senate,11/21/23,,,,pf,The Senate met at 10:00:05 a.m. in pro forma session and adjourned at 10:00:36 a.m. until 11 a.m. on Friday November 24 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/11/21/daily-digest,,
House,11/21/23,11:00AM,11:02AM,2,pf,Adjournment:  The House met at 11 a.m. and adjourned at 11:02 a.m.,https://www.congress.gov/congressional-record/2023/11/21/daily-digest,,
Senate,11/24/23,,,,pf,The Senate met at 11:00:03 a.m. in pro forma session and adjourned at 11:00:30 a.m. until 3 p.m. on Monday November 27 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/11/24/daily-digest,,
House,11/24/23,12:00PM,12:02PM,2,pf,Adjournment: The House met at 12 p.m. and adjourned at 12:02 p.m.,https://www.congress.gov/congressional-record/2023/11/24/daily-digest,,
Senate,11/27/23,15:00PM,18:51PM,231,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:51 p.m. until 10 a.m. on Tuesday November 28 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/27/daily-digest,,
House,11/27/23,,,,NS,The House was not in session today.  The House will meet at 12 p.m. on Tuesday November 28 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/11/27/daily-digest,,
Senate,11/28/23,10:01AM,17:46PM,465,x,Adjournment: Senate convened at 10:01 a.m. and adjourned at 5:46 p.m. until 10 a.m. on Wednesday November 29 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/28/daily-digest,,
House,11/28/23,12:00PM,20:10PM,490,x,Adjournment:  The House met at 12 p.m. and adjourned at 8:10 p.m.   ,https://www.congress.gov/congressional-record/2023/11/28/daily-digest,,
Senate,11/29/23,10:00AM,19:58PM,598,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:58 p.m. until 10 a.m. on Thursday November 30 2023. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/11/29/daily-digest,,
House,11/29/23,10:00AM,17:33PM,453,x,Adjournment: The House met at 10 a.m. and adjourned at 5:33 p.m. ,https://www.congress.gov/congressional-record/2023/11/29/daily-digest,,
Senate,11/30/23,10:00 AM,3:08 PM,5:08,x,.),https://www.congress.gov/congressional-record/2023/11/30/daily-digest,,
House,11/30/23,10:00AM,19:57PM,597,x,.Adjournment: The House met at 10 a.m. and adjourned at 7:57 p.m.,https://www.congress.gov/congressional-record/2023/11/30/daily-digest,,
Senate,12/1/23,,,,NS,,https://www.congress.gov/congressional-record/2023/12/1/daily-digest,,
