House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,2/9/22,10:00AM,19:56PM,596,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:56 p.m. until 10 a.m. on Thursday February 10 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest,,
House,2/9/22,09:00AM,15:39PM,399,x,Adjournment:  The House met at 9 a.m. and adjourned at 3:39 p.m.   ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest,,
Senate,2/10/22,10:00AM,15:31PM,331,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:31 p.m. until 3 p.m. on Monday February 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/10/daily-digest,,
House,2/10/22,,,,NS,The House was not in session today. The House is scheduled to meet at 11 a.m. on Friday February 11 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/10/daily-digest,,
Senate,2/11/22,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday February 14 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/2/11/daily-digest,,
House,2/11/22,11:00AM,11:06AM,6,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:06 a.m.  ,https://www.congress.gov/congressional-record/2022/2/11/daily-digest,,
Senate,2/14/22,15:00PM,19:53PM,293,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:53 p.m. until 10 a.m. on Tuesday February 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/14/daily-digest,,
House,2/14/22,,,,NS,The House was not in session today. The House is scheduled to meet at 10 a.m. on Tuesday February 15 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/2/14/daily-digest,,
Senate,2/15/22,10:00AM,18:16PM,496,x,Adjournment: Senate convened at 10 a.m. and adjourned at 6:16 p.m. until 10 a.m. on Wednesday February 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest,,
House,2/15/22,10:00AM,10:03AM,3,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest,,
